x,y,z
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.089621332671151022e+00,-8.647243082312877638e-01,-1.127879733994150202e+00
1.477039223848676808e-01,1.471383701019490509e-01,-1.676565836544658294e+00
1.237325255056018758e+00,-7.175859381293386852e-01,-2.804445570538808497e+00
-1.175253966544098194e+00,7.938726476928948950e-01,-7.272523757631256247e-01
-8.563263387294717255e-02,-7.085166053839286882e-02,-1.855132109757275938e+00
-1.027550044159230458e+00,9.410110177948439736e-01,-2.403818212307784030e+00
6.207128851192056374e-02,7.628670956355620980e-02,-3.531697946301934010e+00
1.503630258991360602e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.593251591662511402e+00,-8.647243082312877638e-01,-1.127879733994150202e+00
1.651334181376228338e+00,1.471383701019490509e-01,-1.676565836544658294e+00
2.740955514047379360e+00,-7.175859381293386852e-01,-2.804445570538808497e+00
3.283762924472624078e-01,7.938726476928948950e-01,-7.272523757631256247e-01
1.417997625118413429e+00,-7.085166053839286882e-02,-1.855132109757275938e+00
4.760802148321300886e-01,9.410110177948439736e-01,-2.403818212307784030e+00
1.565701547503281166e+00,7.628670956355620980e-02,-3.531697946301934010e+00
1.196883011758582915e+00,6.424006881227105614e-01,-4.086427338136878751e-01
2.286504344429733937e+00,-2.223236201085772024e-01,-1.536522467807837966e+00
1.344586934143450652e+00,7.895390582246596400e-01,-2.085208570358346059e+00
2.434208266814601451e+00,-7.518525000662812374e-02,-3.213088304352496039e+00
2.162904521448472117e-02,1.436273335815605456e+00,-1.135895109576813500e+00
1.111250377885635743e+00,5.715490275843176926e-01,-2.263774843570963924e+00
1.693329675993524019e-01,1.583411705917554535e+00,-2.812460946121471572e+00
1.258954300270503479e+00,7.186873976862667712e-01,-3.940340680115621552e+00
2.700513270749943295e+00,6.424006881227105614e-01,-4.086427338136878751e-01
3.790134603421094539e+00,-2.223236201085772024e-01,-1.536522467807837966e+00
2.848217193134810810e+00,7.895390582246596400e-01,-2.085208570358346059e+00
3.937838525805961609e+00,-7.518525000662812374e-02,-3.213088304352496039e+00
1.525259304205845101e+00,1.436273335815605456e+00,-1.135895109576813500e+00
2.614880636876995901e+00,5.715490275843176926e-01,-2.263774843570963924e+00
1.672963226590712837e+00,1.583411705917554535e+00,-2.812460946121471572e+00
2.762584559261863859e+00,7.186873976862667712e-01,-3.940340680115621552e+00
-1.317768772656748633e+00,-2.295315349703078711e-01,-4.060089663733883886e-02
-2.281474399855976110e-01,-1.094255843201595635e+00,-1.168480630631488992e+00
-1.170064850271880896e+00,-8.239316486835882025e-02,-1.717166733181997085e+00
-8.044351760072987467e-02,-9.471174730996465563e-01,-2.845046467176147509e+00
-2.493022739200847049e+00,5.643411127225870239e-01,-7.678532724004644150e-01
-1.403401406529696027e+00,-3.003831955087007399e-01,-1.895733006394614506e+00
-2.345318816815979535e+00,7.114794828245361025e-01,-2.444419108945122598e+00
-1.255697484144828513e+00,-1.532448254067516613e-01,-3.572298842939273023e+00
1.858614863346119694e-01,-2.295315349703078711e-01,-4.060089663733883886e-02
1.275482819005762991e+00,-1.094255843201595635e+00,-1.168480630631488992e+00
